,holder,port_value,default_type,default_amount,tradingview
0,Utopia Notifications,200000,CASH,10000.0,
1,Garud9,200000,CASH,10000.0,
2,dotcom,200000,CASH,10000.0,
3,didrick2,200000,CASH,10000.0,
4,Bernie888,200000,CASH,10000.0,
5,sanaa,200000,CASH,10000.0,
6,atice37,200000,CASH,10000.0,
7,köbē,200000,CASH,10000.0,
8,white fox 88,200000,CASH,10000.0,
9,SammySnipes,200000,CASH,10000.0,
10,steve.,200000,CASH,10000.0,
11,tiphaniplace,200000,CASH,10000.0,
12,hugenbobbler,200000,CASH,10000.0,
13,charles bear claw,200000,CASH,10000.0,
14,IslandLife,200000,CASH,10000.0,
15,TJGeesus,200000,CASH,10000.0,
16,TB48,200000,CASH,10000.0,
17,leonelbilal,200000,CASH,10000.0,
18,wpohl39,200000,CASH,10000.0,
19,rexynaz,200000,CASH,10000.0,
20,Kweku,200000,CASH,10000.0,
21,Tommy_moore,200000,CASH,10000.0,
22,dalecampbell77,200000,CASH,10000.0,
23,brute force,200000,CASH,10000.0,
24,ivan951hdz,200000,CASH,10000.0,
25,IHaveSomeDemands,200000,CASH,10000.0,
26,darkknight,200000,CASH,10000.0,
27,Ernie,200000,CASH,10000.0,
28,Hadeed88,200000,CASH,10000.0,
29,QuickMaths502,200000,CASH,10000.0,
30,wow,200000,CASH,10000.0,aapawow
31,skydance,200000,CASH,10000.0,
32,PYRØ,200000,CASH,10000.0,
33,kneira,200000,CASH,10000.0,
34,brenden williams,200000,CASH,10000.0,
35,Friitrading,200000,CASH,10000.0,
36,gooner5422,200000,CASH,10000.0,
37,ToAsTeRMiC,200000,CASH,10000.0,
38,ERIC,200000,CASH,10000.0,
39,xwilleyumx,200000,CASH,10000.0,
40,Certified Can,200000,CASH,10000.0,
41,SonnyIsMoney,200000,CASH,10000.0,
42,Staple17,200000,CASH,10000.0,
43,NewShoes,200000,CASH,10000.0,
44,joe trades,200000,CASH,10000.0,
45,alanman360,200000,CASH,10000.0,
46,chris1923,200000,CASH,10000.0,
47,vbbmet,200000,CASH,10000.0,
48,is,200000,CASH,10000.0,
49,domzomb3r,200000,CASH,10000.0,
50,Goaty,200000,CASH,10000.0,
51,CaPiFeEd,200000,CASH,10000.0,
52,samlomi,200000,CASH,10000.0,
53,Brandeelynv,200000,CASH,10000.0,
54,Eddy_Trades,200000,CASH,10000.0,
55,gacostaadt,200000,CASH,10000.0,
56,Ding,200000,CASH,10000.0,
57,saneel,200000,CASH,10000.0,
58,popsmokeworld,200000,CASH,10000.0,
59,Sylvain,200000,CASH,10000.0,
60,cjc,200000,CASH,10000.0,
61,deadboy,200000,CASH,10000.0,
62,Varun,200000,CASH,10000.0,
63,mohamed fathy,200000,CASH,10000.0,
64,Lordz Dmo,200000,CASH,10000.0,
65,colesumn954,200000,CASH,10000.0,
66,mawk,200000,CASH,10000.0,
67,Schmidtty,200000,CASH,10000.0,
68,Tayler_hughes,200000,CASH,10000.0,
69,Steven Snyder,200000,CASH,10000.0,
70,cockswinginclarke,200000,CASH,10000.0,
71,surya,200000,CASH,10000.0,
72,supplemental,200000,CASH,10000.0,
73,zuzo,200000,CASH,10000.0,
74,JackBull,200000,CASH,10000.0,
75,mf140691,200000,CASH,10000.0,
76,charan,200000,CASH,10000.0,
77,dougg,200000,CASH,10000.0,
78,muskitrader,200000,CASH,10000.0,
79,reno96,200000,CASH,10000.0,
80,dahonam,200000,CASH,10000.0,
81,lando.,200000,CASH,10000.0,
82,vadasambhar,200000,CASH,10000.0,
83,speedsam,200000,CASH,10000.0,
84,brunogrm05,200000,CASH,10000.0,
85,james-duncan-halpert,200000,CASH,10000.0,
86,Troubled Cookie,200000,CASH,10000.0,
87,yoyo,200000,CASH,10000.0,
88,Frankie39,200000,CASH,10000.0,
89,TylerTheCreationist,200000,CASH,10000.0,
90,ZCrowe12,200000,CASH,10000.0,
91,knoppsknives,200000,CASH,10000.0,
92,gzmn96,200000,CASH,10000.0,
93,PixelatedPixel,200000,CASH,10000.0,
94,1on1im,200000,CASH,10000.0,
95,gurudatta,200000,CASH,10000.0,
96,Z 98,200000,CASH,10000.0,
97,adams,200000,CASH,10000.0,
98,Bilicho,200000,CASH,10000.0,
99,Abu,200000,CASH,10000.0,
100,uknow619,200000,CASH,10000.0,
101,marqwezii,200000,CASH,10000.0,
102,princeva,200000,CASH,10000.0,
103,asarraf,200000,CASH,10000.0,
104,rwill,200000,CASH,10000.0,
105,DrScreamo,200000,CASH,10000.0,
106,Patrick Bateman,200000,CASH,10000.0,
107,Garretteasler,200000,CASH,10000.0,
108,BillsMafia,200000,CASH,10000.0,
109,AMP,200000,CASH,10000.0,
110,EDUARDO SCHMILINSKY,200000,CASH,10000.0,
111,erik4445,200000,CASH,10000.0,
112,187boss1,200000,CASH,10000.0,
