,id,ticker,asset,symbol,quantity,date,side,trade_price,strike,bidPrice,askPrice,delta,theta,gamma,vega,description,trader,channel,time
281,da5ad64b2b3f11eba7733800255995ba,AMZN,OPTION,AMZN_031921P2000,100,03/19/21,PUTS,8.55,2000.0,7.6,8.55,-0.0259,-0.1881,0.0001,42.3138,AMZN Mar 19 2021 2000 Put,SammySnipes,swings-🏌,2021-02-01 01:59:10
966,84fbe6503e4811ebac983800255995ba,DKNG,OPTION,DKNG_052121C90,100,05/21,CALLS,1.85,90.0,1.7,1.85,0.1686,-0.0192,0.0104,71.7338,DKNG May 21 2021 90 Call,Another Day Another Loss,general-chat-room🗣,2021-02-01 01:59:10
1190,24e5dfee43a511eba6d93800255995ba,TGT,OPTION,TGT_031921C200,100,3/19,CALLS,2.17,200.0,2.14,2.17,0.1657,-0.0356,0.0096,30.8802,TGT Mar 19 2021 200 Call,SammySnipes,swings-🏌,2021-02-01 01:59:10
1633,1c8995674f8011eb9bea3800255995ba,MT,OPTION,MT_031921C27,100,3/19,CALLS,1.44,27.0,1.38,1.44,0.3877,-0.0155,0.0649,53.7377,MT Mar 19 2021 27 Call,glazeddonut58,general-chat-room🗣,2021-02-01 01:59:10
1653,724abd934f9611eb90a73800255995ba,TEVA,OPTION,TEVA_031921C12,100,3/19,CALLS,0.73,12.0,0.72,0.73,0.4076,-0.0077,0.1358,58.7,TEVA Mar 19 2021 12 Call,Engine Trades,swings-🏌,2021-02-01 01:59:10
1717,18a5e6e5510311eb9d443800255995ba,SNPR,OPTION,SNPR_041621C10,100,4/16,CALLS,1.5,10.0,1.4,1.5,0.8594,-0.0088,0.134,37.5677,SNPR Apr 16 2021 10 Call,SilverSurfie,request-bot🤖,2021-02-01 01:59:10
1769,318eb25351cd11eb9a1b3800255995ba,UVXY,OPTION,UVXY_061821C5,100,6/18,CALLS,5.9,5.0,5.8,5.9,0.8973,-0.0044,0.0205,123.8148,UVXY Jun 18 2021 5 Call,Shamar Martin,request-bot🤖,2021-02-01 01:59:10
1814,4f13c15e542a11eb8e743800255995ba,SNPR,OPTION,SNPR_041621C12.5,100,4/16,CALLS,1.05,12.5,0.85,1.05,0.4286,-0.0079,0.1128,0.0224,SNPR Apr 16 2021 12.5 Call,SilverSurfie,request-bot🤖,2021-02-01 01:59:10
1823,499faf83543711eb8b683800255995ba,VALE,OPTION,VALE_061821C20,100,6/18,CALLS,1.55,20.0,1.52,1.55,0.4297,-0.0058,0.0692,0.0472,VALE Jun 18 2021 20 Call,glazeddonut58,general-chat-room🗣,2021-02-01 01:59:10
2045,d97a6b825cf111ebb64e69f24171e6df,EXPR,OPTION,EXPR_071621C5,100,07/16,CALLS,0.6,5.0,0.55,0.6,0.5467,-0.0031,0.1475,0.0047,EXPR Jul 16 2021 5 Call,thepixel,general-chat-room🗣,2021-02-01 01:59:10
2052,c87cf63e5f1b11ebb64e69f24171e6df,SAVE,OPTION,SAVE_031921C30,100,3/19,CALLS,2.18,30.0,2.08,2.18,0.4397,-0.0276,0.0522,0.042,SAVE Mar 19 2021 30 Call,SammySnipes,swings-🏌,2021-02-01 01:59:10
2064,1de26fb05f2f11ebb64e69f24171e6df,ICLN,OPTION,ICLN_041621C45,100,4/16,CALLS,1.05,45.0,0.9,1.05,0.1956,-0.0175,0.0267,0.0426,ICLN Apr 16 2021 45 Call,Rich,request-bot🤖,2021-02-01 01:59:10
2132,63e9daf360dd11ebb64e69f24171e6df,T,OPTION,T_031921C35,3,3/19,CALLS,0.09,35.0,0.08,0.09,0.0614,-0.0039,0.0363,0.0133,T Mar 19 2021 35 Call,ED🥴,request-bot🤖,2021-02-01 01:59:10
2138,c445767c617d11ebb64e69f24171e6df,SPY,OPTION,SPY_031921P360,100,3/19,PUTS,8.32,360.0,8.25,8.32,-0.3004,-0.14400000000000002,0.0085,0.4911,SPY Mar 19 2021 360 Put,Rich,request-bot🤖,2021-02-01 01:59:10
2148,892f3628619511ebb64e69f24171e6df,LULU,OPTION,LULU_031921C400,100,3/19,CALLS,3.7,400.0,3.5,3.7,0.1402,-0.1163,0.0041,0.2753,LULU Mar 19 2021 400 Call,Rich,request-bot🤖,2021-02-01 01:59:10
2152,7dbcb2c061a911ebb64e69f24171e6df,VXX,OPTION,VXX_031921C20,100,3/19,CALLS,3.2,20.0,3.15,3.2,0.5613,-0.0329,0.0457,0.0285,VXX Mar 19 2021 20 Call,Rich,request-bot🤖,2021-02-01 01:59:10
2154,29f22700624011ebb64e69f24171e6df,CVS,OPTION,CVS_031921C80,100,3/19,CALLS,1.25,80.0,1.17,1.25,0.2431,-0.0291,0.0351,0.084,CVS Mar 19 2021 80 Call,dahonam,request-bot🤖,2021-02-01 01:59:10
