,id,ticker,asset,symbol,quantity,date,side,trade_price,strike,bidPrice,askPrice,delta,theta,gamma,vega,description,trader,channel,time
0,9fa087b6243f11eb942d3800255995ba,AMD,OPTION,AMD_112020C82,-100,11/20,CALLS,1.87,82.0,1.87,1.88,0.4435,-0.1165,0.067,44.0249,AMD Nov 20 2020 82 Call,SammySnipes,sammysnipes-trades🎯,2020-11-11 12:02:04.702170
1,9fa936b6243f11eb942d3800255995ba,WKHS,OPTION,WKHS_112020P19,100,11/20,PUTS,1.5,19.0,1.45,1.5,0.3941,-0.1144,0.0647,44.8099,WKHS Nov 20 2020 19 Put,Engine Trades,engine-trades,2020-11-11 12:02:04.702170
2,9fa936b6243f11eb942d3800255995ba,WKHS,OPTION,WKHS_112020P19,-100,11/20,PUTS,1.4,19.0,1.4,1.55,-0.5066,-0.0804,0.123,116.9473,WKHS Nov 20 2020 19 Put,Engine Trades,engine-trades,2020-11-11 12:02:04.702170
3,1c062c2624f611eb88613800255995ba,BA,OPTION,BA_111320C185,100,11/13,CALLS,1.51,185.0,1.4,1.51,0.3126,-0.6744,0.0465,56.8443,BA Nov 13 2020 185 Call,SammySnipes,risky-trades😅,2020-11-12 09:48:22.085743
4,1c062c2624f611eb88613800255995ba,BA,OPTION,BA_111320C185,-100,11/13,CALLS,0.77,185.0,0.77,0.9,0.2272,-0.4958,0.0459,49.3859,BA Nov 13 2020 185 Call,SammySnipes,risky-trades😅,2020-11-12 09:48:22.085743
5,8bccca7824f611eba6f03800255995ba,FPRX,OPTION,FPRX_112020P20,0,11/20,PUTS,2.8,20.0,2.55,2.8,-0.3376,-0.1874,0.0392,270.2437,FPRX Nov 20 2020 20 Put,cMoney💰,request-bot🤖,2020-11-12 09:51:30.120645
6,0834445d24f711ebbb3f3800255995ba,BA,OPTION,BA_111320C180,100,11/13,CALLS,2.92,180.0,2.75,2.92,0.525,-0.6719,0.059,50.5739,BA Nov 13 2020 180 Call,Eddy_Trades,members-trades-and-spreads🔌,2020-11-12 09:54:58.039447
7,0834445d24f711ebbb3f3800255995ba,BA,OPTION,BA_111320C180,-100,11/13,CALLS,4.45,180.0,4.45,4.65,0.7202,-0.5223,0.0542,45.6939,BA Nov 13 2020 180 Call,Eddy_Trades,members-trades-and-spreads🔌,2020-11-12 09:54:58.039447
8,c4e8a90e24f911eb9ac33800255995ba,NET,OPTION,NET_112020C65,100,11/20,CALLS,2.6,65.0,2.45,2.6,0.5163,-0.1432,0.0617,63.4166,NET Nov 20 2020 65 Call,SammySnipes,sammysnipes-trades🎯,2020-11-12 10:14:33.897570
9,c4e8a90e24f911eb9ac33800255995ba,NET,OPTION,NET_112020C65,-100,11/20,CALLS,1.6,65.0,1.6,1.7,0.3935,-0.134,0.0614,63.4303,NET Nov 20 2020 65 Call,SammySnipes,sammysnipes-trades🎯,2020-11-12 10:14:33.897570
10,f4ec77c724f911ebbf1c3800255995ba,PLUG,OPTION,PLUG_111320P23,100,11/13,PUTS,0.51,23.0,0.49,0.51,-0.3966,-0.1625,0.2285,97.4777,PLUG Nov 13 2020 23 Put,cMoney💰,request-bot🤖,2020-11-12 10:15:54.195724
11,f4ec77c724f911ebbf1c3800255995ba,PLUG,OPTION,PLUG_111320P23,-100,11/13,PUTS,0.57,23.0,0.57,0.59,-0.4473,-0.1646,0.2373,97.1835,PLUG Nov 13 2020 23 Put,cMoney💰,request-bot🤖,2020-11-12 10:15:54.195724
12,f6a6d47e24fb11eb8b4a3800255995ba,PTON,OPTION,PTON_111320P107,100,11/13,PUTS,1.31,107.0,1.08,1.31,-0.2992,-0.5633,0.0535,79.5979,PTON Nov 13 2020 107 Put,BigCat,members-trades-and-spreads🔌,2020-11-12 10:30:16.112631
13,f6a6d47e24fb11eb8b4a3800255995ba,PTON,OPTION,PTON_111320P107,-100,11/13,PUTS,1.38,107.0,1.38,1.49,-0.3401,-0.5651,0.0594,76.2477,PTON Nov 13 2020 107 Put,BigCat,members-trades-and-spreads🔌,2020-11-12 10:30:16.112631
14,b487373c250511eb86ea3800255995ba,AMD,OPTION,AMD_112020C85,100,11/20,CALLS,1.16,85.0,1.15,1.16,0.3293,-0.1118,0.0651,43.029,AMD Nov 20 2020 85 Call,dahonam,request-bot🤖,2020-11-12 11:40:00.165933
