,ID,TRADER,COMMAND,TICKER,POSITIONS,NET_PRICE,OPENING,DATE,AVG_PRICE,CLOSED,PROFIT
0,9fa087b6243f11eb942d3800255995ba,SammySnipes,standard,AMD,1,-1.6,True,11/20,1.61,True,14.89
1,9fa936b6243f11eb942d3800255995ba,Engine Trades,standard,WKHS,1,-1.5,True,11/20,1.45,True,3.33
2,1c062c2624f611eb88613800255995ba,SammySnipes,standard,BA,1,-1.51,True,11/13,1.34,True,-40.4
3,8bccca7824f611eba6f03800255995ba,cMoney💰,standard,FPRX,1,-2.8,True,11/20,2.55,True,-20.1
4,0834445d24f711ebbb3f3800255995ba,Eddy_Trades,standard,BA,1,-2.92,True,11/13,2.6,True,59.25
5,c4e8a90e24f911eb9ac33800255995ba,SammySnipes,standard,NET,1,-2.6,True,11/20,2.6,True,-34.62
6,f4ec77c724f911ebbf1c3800255995ba,cMoney💰,standard,PLUG,1,-0.51,True,11/13,0.49,True,15.69
7,f6a6d47e24fb11eb8b4a3800255995ba,BigCat,standard,PTON,1,-1.31,True,11/13,1.19,True,13.74
8,b487373c250511eb86ea3800255995ba,dahonam,standard,AMD,1,-1.16,True,11/20,1.18,True,-6.9
9,474151f2250611eba0cf3800255995ba,therealyoungari,standard,BA,1,-62.9,True,11/20,1.15,True,1.35
10,1d675ea2250811ebabd03800255995ba,BigCat,standard,FUBO,1,0.1,True,11/20,0.15,True,0.1
11,1dcceb74250811eb97eb3800255995ba,cMoney💰,standard,NIO,1,-1.63,True,11/13,1.56,True,53.37
12,1ff78c41250e11ebb2b93800255995ba,SammySnipes,standard,SPY,1,-2.26,True,11/20,,True,40.1
13,31616c07250e11eb823b3800255995ba,Taaka,standard,ZM,1,-4.8,True,11/20,4.75,True,-85.42
14,7dd6610f251011eb9d4c3800255995ba,Zach.b,standard,AUY,1,-0.59,True,11/27,0.49,True,0.1
15,d06faadf251211eb9a773800255995ba,Engine Trades,standard,IWM,1,-2.21,True,11/20,2.1,True,20.1
16,206b698c251311eb88fd3800255995ba,TacoTradez🌮,standard,NIO,1,-3.95,True,11/20,,True,96.2
17,43000f80251a11ebb1013800255995ba,JD,standard,NIO,1,-1.49,True,11/20,1.46,True,61.74
18,ace5424c251b11ebade53800255995ba,Dick Branson,standard,SPCE,1,-0.32,True,11/20,0.33,True,-75.0
19,e34ada51251d11eb9fca3800255995ba,Rich,standard,TGT,1,-3.05,True,11/20,2.94,True,6.56
20,cb3145b1252011eb9b833800255995ba,Taaka,standard,NIO,1,-3.7,True,11/20,375.0,True,52.7
21,3e8c2cd1252211ebac483800255995ba,zoom,standard,TSLA,1,-7.65,True,11/20,7.6,True,742.35
22,74b785d725bf11eb94813800255995ba,Taaka,standard,NIO,1,-6.05,True,12/04,5.05,True,-0.83
23,c65fdbfd25bf11ebbfd43800255995ba,Visvim,standard,AMZN,1,-9.75,True,11/13,9.3,True,0.1
24,ceac96dd25bf11eb8d283800255995ba,noaaa,standard,NIO,1,0.1,True,11/20,,True,0.1
25,5691ee9e25c111ebabb53800255995ba,SammySnipes,standard,QQQ,1,-2.69,True,11/20,,True,-20.1
26,5f6352e625c311ebb9d73800255995ba,emraht,standard,NIO,1,0.1,True,12/04,,True,0.0
27,7cd3a49225c511ebac473800255995ba,Taaka,standard,NIO,1,0.1,True,11/20,,True,0.1
28,e70811f425c611eb96d73800255995ba,emraht,standard,NIO,1,0.1,True,11/27,,True,0.1
29,d862336c25c711eb8d073800255995ba,emraht,standard,NIO,1,-4.7,True,12/04,5.85,True,-20.0
30,ec50b0d825c711ebb3d63800255995ba,emraht,standard,NIO,1,-5.4,True,11/27,5.85,True,-80.56
31,4302a21e25ca11ebb6ed3800255995ba,raj_alert,standard,PLTR,1,-0.5,True,12/18,,True,30.1
32,d109033525d111eb9b643800255995ba,SammySnipes,standard,WMT,1,-2.89,True,11/20,,True,-88.93
33,047b691625d311eb887a3800255995ba,SammySnipes,standard,CGC,1,-0.5,True,11/20,,True,-20.1
34,cfffa6fb25d711eb8cd13800255995ba,Hugh Jassol,creditspread,MSFT,0,0.1,True,11/20,,True,0.1
35,90babc6325ec11ebb0173800255995ba,Zach.b,standard,AUY,1,-0.21,True,11/27,0.2,True,-33.33
36,5a9e796025ee11ebbdd13800255995ba,SammySnipes,standard,AMZN,1,-16.05,True,11/20,,True,-20.1
37,45aef30c25f311ebb3a53800255995ba,Zach.b,standard,AAL,1,-0.19,True,11/27,0.2,True,0.1
38,49d092bc25f411eb98923800255995ba,Zach.b,debitspread,PYPL,2,-2.05,True,11/27,,True,-4.88
39,749c935525f411eb8f313800255995ba,Zach.b,debitspread,AAL,2,-0.26,True,11/20,,True,61.54
40,b7cfbf0825f411eba7373800255995ba,Zach.b,debitspread,AMD,2,0.1,True,3/19/21,,True,0.1
41,ddbfe75c25f411eba8533800255995ba,Zach.b,debitspread,AMD,2,0.1,True,3/19/21,,False,
42,e5e68eff281911eb912a3800255995ba,Eddy_Trades,standard,BA,1,-3.15,True,11/20,3.1,True,152.38
43,134a3b13281a11eb95c13800255995ba,SammySnipes,standard,FB,1,-2.03,True,11/20,,True,-43.35
44,4f0c9f26281a11ebb2e53800255995ba,Hugh Jassol,standard,FB,1,-1.91,True,11/20,,True,-58.12
45,df98ec2b281a11ebabfe3800255995ba,cMoney💰,standard,AMC,1,-0.15,True,11/20,0.15,True,13.33
46,fe9c6e92281a11eb9f883800255995ba,Visvim,standard,ZM,1,-9.0,True,11/20,8.6,True,16.67
47,5b5188a4281c11ebab9c3800255995ba,Engine Trades,standard,SFIX,1,-1.07,True,11/20,0.95,True,21.5
48,f8f38cae281c11eb84023800255995ba,Reventing,standard,FB,1,-1.48,True,11/20,1.47,True,10.81
49,fd759556281c11eb9fdf3800255995ba,raj_alert,standard,TGT,1,-0.77,True,11/20,,True,40.26
50,4dd968b8281d11eba7063800255995ba,cMoney💰,standard,NIO,1,-4.8,True,11/20,4.55,True,3.13
51,7a713cf1281d11eb8afe3800255995ba,Rich,standard,AMD,1,-2.45,True,11/27,2.14,True,6.53
52,cda3a581282011eba94b3800255995ba,cMoney💰,standard,AAPL,1,-1.5,True,11/20,1.5,True,-20.1
53,e7b4c128282011eb818a3800255995ba,Zach.b,standard,AMD,1,-2.97,True,1/15/21/21,2.93,True,142.42
54,01037b47282a11eb9aa33800255995ba,Zach.b,standard,AAL,1,-0.19,True,11/27,0.2,True,42.11
55,d9189811282e11ebb8ef3800255995ba,Rich,standard,TWTR,1,-0.52,True,11/20,,True,13.46
56,b2ea6efd283111eb95073800255995ba,Hugh Jassol,standard,UA,1,-0.55,True,12/4,0.49,True,27.27
57,9770a830283411eb90a73800255995ba,JD,standard,AAPL,1,-0.7,True,11/27,0.7,True,14.29
58,fe51af8e283411eba0cd3800255995ba,raj_alert,standard,ZM,1,-1.9,True,11/20,,True,52.63
59,f8fa47e6283611eb82cd3800255995ba,Dick Branson,standard,SPCE,1,-1.16,True,12/11,1.03,True,12.07
60,c6861489283a11eb83af3800255995ba,Reventing,standard,SPY,1,-1.03,True,11/16,,True,-6.8
61,1f866163283b11eb98f33800255995ba,Zach.b,standard,FDX,1,-3.1,True,12/24,2.85,True,108.06
62,5e351284283b11ebbe583800255995ba,Reventing,standard,SPY,1,-0.68,True,11/16,,True,41.18
63,6943d576283d11eba4d53800255995ba,Zach.b,standard,TWTR,1,-1.05,True,11/27,1.04,True,104.76
64,7bd0b276283d11eb974e3800255995ba,Zach.b,standard,TWTR,1,-1.4,True,11/27,1.38,True,-90.71
65,915d10d8283e11eb869d3800255995ba,Reventing,standard,AMZN,1,-3.6,True,11/20,,True,-2.78
66,0642ba8f284e11eb8e4e3800255995ba,Engine Trades,standard,PINS,1,0.1,True,11/20,1.37,True,0.1
67,680d3213284e11eb9dea3800255995ba,JD,standard,WMT,1,-0.95,True,12/11,0.91,True,-63.16
68,390cc1a328e311ebb9cc3800255995ba,Eddy_Trades,standard,TSLA,1,-7.35,True,11/20,7.8,True,-55.1
69,4a0119f028e311eba56a3800255995ba,JD,standard,TSLA,1,-12.45,True,12/18,12.65,True,-24.9
70,73e1c40f28e311eb82683800255995ba,russellnoonan,standard,TSLA,1,-7.8,True,11/27,6.5,True,154.49
71,cdcb7e0528e311eb80433800255995ba,Visvim,standard,TSLA,1,0.1,True,20/11,8.7,True,0.1
72,ea15f9c228e311eb90743800255995ba,Eddy_Trades,standard,TSLA,1,-12.65,True,11/20,12.0,True,-60.87
73,59f79e5e28e511eb967d3800255995ba,Hugh Jassol,standard,NET,1,-0.85,True,11/27,0.8,True,58.82
