Unnamed: 0,SYMBOL,DIRECTION,THRESHOLD,PT,AUTHOR,UPLOADED,ALERTED,CHANNEL
0,twtr,above,45.03,46.38,SammySnipes,True,2,713082942527897650
1,zm,above,447.41,458.97,SammySnipes,True,0,713082942527897650
2,nflx,above,490.61,494.94,SammySnipes,True,2,713082942527897650
3,mcd,below,214.78,210.88,SammySnipes,True,2,713082942527897650
4,fb,below,268.26,266.02,SammySnipes,True,4,713082942527897650
5,lulu,above,347.68,351.97,SammySnipes,True,3,713082942527897650
6,nvda,below,523.04,513.26,SammySnipes,True,2,713082942527897650
7,amzn,below,3080.0,3048.0,SammySnipes,True,2,713082942527897650
8,shop,above,986.32,1008.0,SammySnipes,True,2,713082942527897650
9,goog,below,1731.0,1717.0,SammySnipes,True,3,713082942527897650
10,z,above,112.41,115.6,SammySnipes,True,4,713082942527897650
11,fix,above,36.74,38.04,Engine Trades,True,4,713081687516643389
12,sfix,above,36.74,38.04,Engine Trades,True,2,713081687516643389
13,pton,above,111.99,114.1,Engine Trades,True,3,713081687516643389
14,twtr,above,45.33,46.4,Engine Trades,True,2,713081687516643389
